Expense,Category,Source,Price,Date
Tricycle,Fare,Public Transportation,20,9/19/2026
Cab,Fare,Public Transportation,13,9/19/2026
Coffee,Drinks,School Cafeteria,15,9/19/2026
Egg,Food,Convenient Store,10,9/19/2026
T-shirt,Clothes,Online Shop,157,9/19/2026
Tricycle,Fare,Public Transportation,15,9/18/2026
Ka-Joel's,Food,Restaurant,150,9/18/2026
Cab,Fare,Public Transportation,12,9/18/2026
Cab,Fare,Public Transportation,15,9/18/2026
Shampoo,Hygiene,Convenient Store,10,9/17/2026
Egg,Food,Convenient Store,10,9/17/2026
Tricycle,Fare,Public Transportation,15,9/17/2026
Necklace,Accessories,Online Shop,50,9/17/2026
Siomai Rice,Food,School Cafeteria,35,9/17/2026
C2 ,Drinks,School Cafeteria,18,9/17/2026
Malt drink,Drinks,Grocery Store,100,9/17/2026
Shampoo,Hygiene,Grocery Store,30,9/17/2026
Soap,Hygiene,Grocery Store,20,9/17/2026
Cab,Fare,Public Transportation,12,9/17/2026
Fish,Food,Market,120,9/17/2026
Tricycle,Fare,Public Transportation,15,9/16/2026
Fruits,Food,Market,30,9/16/2026
Coffee,Drinks,Convenient Store,17,9/16/2026
Tricycle,Fare,Public Transportation,15,9/15/2026
Coffee,Drinks,School Cafeteria,15,9/15/2026
Siomai Rice,Food,School Cafeteria,35,9/15/2026
Cab,Fare,School Cafeteria,13,9/15/2026
Juice,Drinks,Street Vendor,10,9/15/2026
Street Food,Food,Street Vendor,20,9/15/2026
Tricycle,Fare,Public Transportation,15,9/14/2026
Siomai Rice,Food,School Cafeteria,35,9/14/2026
Soft Drink,Drinks,School Cafeteria,25,9/14/2026
Street Food,Food,Street Vendor,20,9/14/2026
Juice,Drinks,Street Vendor,10,9/14/2026
Cab,Fare,Public Transportation,12,9/14/2026
Cab,Fare,Public Transportation,12,9/13/2026
Skirt,Clothes,Thrift Store,80,9/13/2026
Blouse,Clothes,Thrift Store,80,9/13/2026
Bracelet,Accessories,Thrift Store,50,9/13/2026
Potato Chips,Foods,Convenient Store,20,9/13/2026
Fabcon,Laundry,Convenient Store,10,9/12/2026
Coffee,Drinks,Convenient Store,10,9/12/2026
Siomai Rice,Food,Convenient Store,35,9/12/2026
Detergent Powder,Laundry,Convenient Store,10,9/12/2026
